id,type,object_name,view,filename,width_px,height_px,mean_brightness,contrast_rms,notes
irrelevant_cableusb_1,irrelevant,cableusb,1,irr_cableusb_view1.png,800,600,127.82,47.22,
irrelevant_cableusb_1,irrelevant,cableusb,1,irr_cableusb_view1.png,800,600,127.82,47.22,
irrelevant_cableusb_2,irrelevant,cableusb,2,irr_cableusb_view2.png,800,600,127.25,48.16,
irrelevant_cableusb_2,irrelevant,cableusb,2,irr_cableusb_view2.png,800,600,127.25,48.16,
irrelevant_charger_1,irrelevant,charger,1,irr_charger_view1.png,800,600,127.17,49.25,
irrelevant_charger_1,irrelevant,charger,1,irr_charger_view1.png,800,600,127.17,49.25,
irrelevant_charger_2,irrelevant,charger,2,irr_charger_view2.png,800,600,126.99,50.04,
irrelevant_charger_2,irrelevant,charger,2,irr_charger_view2.png,800,600,126.99,50.04,
irrelevant_headphones_1,irrelevant,headphones,1,irr_headphones_view1.png,800,600,126.8,50.08,
irrelevant_headphones_1,irrelevant,headphones,1,irr_headphones_view1.png,800,600,126.8,50.08,
irrelevant_headphones_2,irrelevant,headphones,2,irr_headphones_view2.png,800,600,126.77,49.87,
irrelevant_headphones_2,irrelevant,headphones,2,irr_headphones_view2.png,800,600,126.77,49.87,
irrelevant_mouse_1,irrelevant,mouse,1,irr_mouse_view1.png,800,600,126.99,49.79,
irrelevant_mouse_1,irrelevant,mouse,1,irr_mouse_view1.png,800,600,126.99,49.79,
irrelevant_mouse_2,irrelevant,mouse,2,irr_mouse_view2.png,800,600,127.01,50.06,
irrelevant_mouse_2,irrelevant,mouse,2,irr_mouse_view2.png,800,600,127.01,50.06,
probe_pendrive_1,probe,pendrive,1,probe_pendrive_view1.png,800,600,128.26,45.15,
probe_pendrive_1,probe,pendrive,1,probe_pendrive_view1.png,800,600,128.26,45.15,
probe_pendrive_2,probe,pendrive,2,probe_pendrive_view2.png,800,600,128.07,47.4,
probe_pendrive_2,probe,pendrive,2,probe_pendrive_view2.png,800,600,128.07,47.4,
